a    FF91A4
b    D2B48C
c    808080
d    32CD32
e    918151
f    F4C430
g    E32636
h    0000FF
i    FF8C00
j    C0C0C0
k    FFD700
l    E34234
m    000000
n    4169E1
o    FFDEAD
p    465945
q    228b22
r    800000
s    704214
t    A020F0
u    404040
v    007F7F
C0   DD40BD
C1   01A3E7
C2   76CA05
C3   F2D001
C4   A9001D
C5   FF7200
C6   481370
C7   E0A7DE
C8   654D3C
C9   00AC98
M0   CD2DBD
M1   C08E1E
M2   B9603D
M3   777F91
M4   16D311
M5   1A1FDF
M6   D90000
M7   869196
M8   6F6F6F
M9   A07D4C
G0   EEAE00
G1   A9A4AE
G2   221E27
G3   7B777D
G4   59AD0A
G5   F3AA3B
G6   D80000
G7   C8A250
G8   442E15
G9   D2BB7E
U0   37334A
U1   A2C518
U2   9D0000
U3   FF003D
U4   6C5D80
U5   383276
U6   362B1C
U7   C4A0D1
U8   F3C2B7
U9   7940A4
V0   362744
V1   178E23
V2   9A97A3
V3   1FB562
V4   624F8C
V5   898774
V6   201C7D
V7   A75D30
V8   92062E
V9   624E3B
Q0   A74DDB
Q1   7F4760
Q2   B84908
Q3   76070E
Q4   846620
Q5   CEFAFF
Q6   77B418
Q7   C84B0E
Q8   DDDBD0
Q9   71A23E
S0   640D18
S1   8DCF93
S2   FCD055
S3   878787
S4   D5B1DE
S5   898989
S6   91C851
S7   5D736D
S8   FAD84D
S9   B265AA
Y0   9B1326
Y1   F3C2CF
Y2   043E0A
Y3   005F5F
Y4   F1DA60
Y5   BE7912
Y6   662716
Y7   3D3953
Y8   94A600
Y9   3DB6EE
E0   9E7E93
E1   62D749
E2   EDB600
E3   548AB5
E4   045ADF
E5   A02F2D
E6   382F4D
E7   F9B400
E8   F39B0A
E9   EAD806
J0   3186B7
J1   2275E5
J2   F8A5DE
J3   D04400
J4   B1987C
J5   3ECD00
J6   8E5C31
J7   C2A95E
J8   A219BF
J9   897583
I0   627D68
I1   E2826D
I2   994A2F
I3   CD7FF5
I4   7DC47A
I5   85B32E
I6   997E6A
I7   8A0000
I8   189F84
I9   861673
D0   49B100
D1   BC5618
D2   4F351C
D3   482C72
D4   BB0407
D5   975E35
D6   92CB09
D7   A82957
D8   887999
D9   958E88
L0   742034
L1   BC84FC
L2   005410
L3   CE0000
L4   DEC300
L5   23B0F3
L6   E36324
L7   6BB4CD
L8   799876
L9   C2AC3D
K0   451D07
K1   3C70CD
K2   767CA9
K3   AEC440
K4   37AE4C
K5   4C1066
K6   AB672D
K7   812105
K8   8E0733
K9   C5741E
N0   7DBFE0
N1   FF2FF5
N2   EFFB3B
N3   FF9521
N4   3AFF22
N5   5FD0FF
N6   CA28FF
N7   FF4B46
N8   57FFDE
N9   95C465
B0   E652A3
B1   E50100
B2   0094FF
B3   00CD13
B4   FFC700
B5   7900E6
B6   FA6E06
B7   C8C8C8
B8   5C260C
B9   8F7965
T0   46FEE5
T1   DB0000
T2   2010FF
T3   E7D600
T4   56F500
T5   E4E4E4
T6   1A1A1A
T7   8B07DC
T8   F57AFA
T9   FE8546
